[
[ 0,    4549,	46572,	42540,	68411,	41243,	68881,	54419,	48257,	21627,	73046,	48433,	31217,	72593,	206878,	183975,	182352,	155100,	73322,	103493,	109146,	60643,	105328,	79305,	103487,	56742,	94176,	96280,	103295,	124555,	133372,	183104,	122876,	154772,	110568,	171361,	114403,	145038,	109986,	150113,	140432,	141965,	121518]
[4553,	0,	    42295,	38929,	64800,	36966,	64604,	50142,	43980,	17350,	68769,	44157,	26940,	68316,	202602,	179698,	178076,	150823,	69045,	99216,	104869,	56367,	101052,	75028,	99210,	61050,	98484,	92004,	99018,	120944,	137680,	187412,	127184,	159080,	114876,	175669,	118710,	149346,	114294,	145837,	136155,	137688,	117241]
[46626,	42345,	0,  	81239,	107110,	5305,	95872,	81410,	75247,	25320,	100037,	38967,	58208,	63780,	233869,	210965,	209343,	182090,	100312,	130484,	134738,	87634,	132319,	106296,	130477,	103123,	140557,	123271,	130285,	152006,	179753,	229485,	169257,	201153,	156949,	217742,	160784,	191419,	156367,	177104,	167422,	168956,	148508]
[42544,	38929,	81189,	0,	    26089,	75860,	63072,	56815,	77318,	56243,	75442,	83050,	39041,	101654,	195749,	174381,	171223,	143970,	102382,	105891,	138207,	89704,	107724,	108366,	105845,	42240,	78865,	85151,	86651,	82233,	118060,	157734,	107899,	141828,	95257,	158417,	101459,	129726,	94675,	138983,	129302,	125518,	118153]
[68415,	64800,	107060,	26089,	0,	    101731,	58585,	74414,	103189,	82114,	91813,	108921,	64913,	127525,	190754,	169387,	166228,	138975,	123722,	122262,	164078,	115576,	128466,	134237,	122216,	67160,	61424,	80156,	81656,	75728,	113533,	131900,	82189,	153413,	90730,	157396,	94057,	117414,	77234,	133989,	124307,	130087,	113158]
[41325,	37043,	5333,	75937,	101808,	0,	    90570,	76108,	69945,	20018,	94735,	34098,	52906,	58911,	228567,	205664,	204041,	176789,	95010,	125182,	129869,	82332,	127017,	100994,	125176,	97822,	135255,	117969,	124983,	146704,	174451,	224183,	163955,	195851,	151648,	212440,	155482,	186117,	151065,	171802,	162121,	163654,	143207]
[68818,	64537,	95910,	63072,	58585,	90581,	0,	    15829,	53668,	70965,	33228,	97772,	38851,	79542,	138526,	117159,	114000,	86747,	65137,	63677,	110401,	62200,	65510,	80862,	63631,	104632,	119630,	27928,	34942,	66647,	171739,	190105,	140395,	204220,	148936,	215602,	152263,	175620,	135440,	81761,	72079,	73613,	60270]
[54299,	50018,	81392,	56723,	74217,	76063,	15632,	0,	    40237,	56446,	19797,	83253,	24332,	66110,	153629,	130725,	129103,	101851,	51706,	50246,	96969,	48769,	52079,	67430,	50199,	98637,	135262,	43031,	50045,	81750,	174457,	205737,	156027,	208826,	151654,	225415,	168457,	186124,	151072,	96864,	87183,	88716,	68268]
[48220,	43939,	75313,	77297,	103168,	69984,	53704,	40469,	0,	    50367,	32440,	51060,	41148,	25873,	184181,	146269,	159655,	121018,	25318,	55489,	61142,	12640,	68417,	31301,	55483,	104717,	142151,	67365,	84828,	119822,	181347,	231079,	170851,	202747,	158543,	219336,	162378,	193013,	157961,	127416,	117734,	114849,	83812]
[21708,	17427,	25347,	56321,	82192,	20018,	70953,	56491,	50329,	0,	    75118,	32118,	33290,	56958,	208951,	186047,	184425,	157172,	75394,	105565,	111218,	62716,	107401,	81377,	105559,	78205,	115639,	98353,	105367,	127088,	154835,	204567,	144339,	176235,	132031,	192824,	135865,	166501,	131449,	152186,	142504,	144038,	123590]
