LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub
WI0105,Fort Atkinson PL,Dwight Foster Public Library,public_library,209,,Merchants,Ave,,,Fort Atkinson,WI,53538,US,Jefferson,,,,Bridges Library System,BLS,7,7,9,11,6,7,7,7,6,5,5,,,7,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0130,Hartland PL,Hartland Public Library,public_library,110,E,Park,Ave,,,Hartland,WI,53029,US,Waukesha,,,,Bridges Library System,BLS,7,6,15,10,16,8,17,7,12,8,12,,,15,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0143,Jefferson PL,Jefferson Public Library,public_library,321,S,Main,St,,,Jefferson,WI,53549,US,Jefferson,,,,Bridges Library System,BLS,7,3,7,5,4,3,5,2,4,3,3,,,5,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0144,Johnson Creek PL,Johnson Creek Public Library,public_library,125,,Lincoln,St,,,Johnson Creek,WI,53038,US,Jefferson,,,,Bridges Library System,BLS,7,2,2,4,2,2,2,1,2,1,2,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0163,Lake Mills PL,L.D. Fargo Public Library,public_library,120,E,Madison,St,,,Lake Mills,WI,53551,US,Jefferson,,,,Bridges Library System,BLS,7,4,8,5,6,4,3,4,4,4,4,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0191,Menomonee Falls PL,Menomonee Falls Public Library,public_library,W156N8436,,Pilgrim,Rd,,,Menomonee Falls,WI,53051,US,Waukesha,,,,Bridges Library System,BLS,7,10,19,13,19,10,11,9,12,9,12,,,15,11,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0396,Mukwonago PL,Mukwonago Community Library,public_library,511,,Division,St,,,Mukwonago,WI,53149,US,Waukesha,,,,Bridges Library System,BLS,7,11,11,10,11,9,8,6,7,7,8,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0212,Muskego PL,Muskego Public Library,public_library,S73W16663,,Janesville,Rd,,,Muskego,WI,53150,US,Waukesha,,,,Bridges Library System,BLS,7,9,16,11,11,8,10,7,9,9,8,,,11,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0218,New Berlin PL,New Berlin Public Library,public_library,15105,,Library,Ln,,,New Berlin,WI,53151,US,Waukesha,,,,Bridges Library System,BLS,7,12,19,15,17,10,16,9,12,8,11,,,15,11,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0226,North Lake PL,Town Hall Library,public_library,N76W31429,,Hwy VV,,,,North Lake,WI,53064,US,Waukesha,,,,Bridges Library System,BLS,7,5,6,4,3,4,5,3,3,4,2,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0229,Oconomowoc PL,Oconomowoc Public Library,public_library,200,W,South,St,,,Oconomowoc,WI,53066,US,Waukesha,,,,Bridges Library System,BLS,7,8,15,12,12,9,13,7,11,7,9,,,12,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0397,Palmyra PL,Powers Memorial Library,public_library,115,W,Main,St,,,Palmyra,WI,53156,US,Jefferson,,,,Bridges Library System,BLS,7,2,1,2,2,2,2,1,2,1,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0421,Pewaukee PL,Pewaukee Public Library,public_library,210,,Main,St,,,Pewaukee,WI,53072,US,Waukesha,,,,Bridges Library System,BLS,7,8,14,11,13,8,12,9,17,8,16,,,15,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0408,Sussex PL,Pauline Haass Public Library,public_library,N64W23820,,Main,St,,,Sussex,WI,53089,US,Waukesha,,,,Bridges Library System,BLS,7,9,15,12,11,10,14,8,10,7,8,,,12,10,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0335,Waterloo PL,Karl Junginger Memorial Library,public_library,625,N,Monroe,St,,,Waterloo,WI,53594,US,Jefferson,,,,Bridges Library System,BLS,7,2,4,4,4,2,2,2,2,2,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0336,Watertown PL,Watertown Public Library,public_library,100,S,Water,St,,,Watertown,WI,53094,US,Jefferson,,,,Bridges Library System,BLS,7,6,15,11,8,9,8,10,7,8,7,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WITC240,Waukesha County TC,Waukesha County Technical College,wi_tech_college,800,,Main,St,,,Pewaukee,WI,53072,US,Waukesha,,,,Bridges Library System,BLS,7,1,1,1,1,1,1,1,1,1,1,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,
WI0337,Waukesha PL,Waukesha Public Library,public_library,321,,Wisconsin,Ave,,,Waukesha,WI,53186,US,Waukesha,,,,Bridges Library System,BLS,7,26,31,21,19,20,24,20,17,20,17,,,22,22,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0352,Whitewater PL,Irvin L. Young Memorial Library,public_library,431,W,Center,St,,,Whitewater,WI,53190,US,Jefferson,,,,Bridges Library System,BLS,7,6,8,7,6,6,6,5,5,4,5,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0006,Altoona PL,Altoona Public Library,public_library,1303,,Lynn,Ave,,,Altoona,WI,54720,US,Eau Claire,,,,IFLS Library System,IFLS,7,5,6,5,9,3,10,7,5,7,5,,,7,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0007,Amery PL,Amery Public Library,public_library,225,,Scholl,Ct,,,Amery,WI,54001,US,Polk,,,,IFLS Library System,IFLS,7,,,7,9,7,4,6,4,6,3,,,5,7,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0015,Augusta PL,Augusta Memorial Public Library,public_library,113,N,Stone,St,,,Augusta,WI,54722,US,Eau Claire,,,,IFLS Library System,IFLS,7,,,4,5,4,3,,,5,4,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0016,Baldwin PL,Baldwin Public Library,public_library,400,,Cedar,St,,,Baldwin,WI,54002,US,St. Croix,,,,IFLS Library System,IFLS,7,4,5,4,6,,,9,8,4,3,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0017,Balsam Lake PL,Balsam Lake Public Library,public_library,404,,Main,St,,,Balsam Lake,WI,54810,US,Polk,,,,IFLS Library System,IFLS,7,,,2,5,2,1,,,4,4,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0020,Barron PL,Barron Public Library,public_library,10,N,3rd,St,,,Barron,WI,54812,US,Barron,,,,IFLS Library System,IFLS,7,4,7,3,5,6,3,,,7,5,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0377,Bloomer PL,G.E. Bleskacek Family Memorial Library,public_library,1519,,17th,Ave,,,Bloomer,WI,54724,US,Chippewa,,,,IFLS Library System,IFLS,7,2,5,,,7,7,,,8,5,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0038,Boyceville PL,Boyceville Public Library,public_library,903,,Main,St,,,Boyceville,WI,54725,US,Dunn,,,,IFLS Library System,IFLS,7,,,4,5,,,5,5,2,2,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0366,Bruce PL,Bruce Area Library,public_library,102,W,River,Ave,,,Bruce,WI,54819,US,Rusk,,,,IFLS Library System,IFLS,7,2,2,,,2,3,,,3,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0378,Cadott PL,Cadott Community Library,public_library,331,N,Main,St,,,Cadott,WI,54727,US,Chippewa,,,,IFLS Library System,IFLS,7,2,1,,,4,4,,,4,4,,,3,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0051,Cameron PL,Cameron Public Library,public_library,506,,Main,St,,,Cameron,WI,54822,US,Barron,,,,IFLS Library System,IFLS,7,2,4,,,5,4,,,7,5,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0056,Centuria PL,Centuria Public Library,public_library,409,,4th,St,,,Centuria,WI,54824,US,Polk,,,,IFLS Library System,IFLS,7,,,1,2,,,2,1,1,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0057,Chetek PL,Calhoun Memorial Library,public_library,321,,Moore,St,,,Chetek,WI,54728,US,Barron,,,,IFLS Library System,IFLS,7,2,3,,,5,4,,,6,4,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
