LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub
WI0305,Spring Valley PL,Spring Valley Public Library,public_library,E121,S,2nd,St,,,Spring Valley,WI,54767,US,Pierce,,,,IFLS Library System,IFLS,7,5,5,2,2,,,6,3,,,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0406,St. Croix Falls PL,St. Croix Falls Public Library,public_library,230,S,Washington,St,,,St. Croix Falls,WI,54024,US,Polk,,,,IFLS Library System,IFLS,7,,,8,12,7,5,7,3,5,2,,,6,7,FALSE,FALSE,TRUE,TRUE,TRUE,,
WIGOV260,Stanley CI,Stanley Correctional Institute,wi_state_gov,100,,Corrections,Dr,,,Stanley,WI,54768,US,Chippewa,,,,IFLS Library System,IFLS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,
WI0307,Stanley PL,D.R. Moon Memorial Library,public_library,154,,4th,Ave,,,Stanley,WI,54768,US,Chippewa,,,,IFLS Library System,IFLS,7,2,3,,,4,5,,,4,3,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0324,Turtle Lake PL,Turtle Lake Public Library,public_library,301,,Maple,St,S,,Turtle Lake,WI,54889,US,Barron,,,,IFLS Library System,IFLS,7,1,2,2,3,2,2,,,3,3,,,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0363,Woodville PL,Woodville Community Library,public_library,124,,Main,St,,,Woodville,WI,54028,US,St. Croix,,,,IFLS Library System,IFLS,7,,,6,4,,,4,3,2,3,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WITC140,Gateway TC,Gateway Technical College,wi_tech_college,3250,,30th,Ave,,,Kenosha,WI,53144,US,Kenosha,,,"J543+J4 Kenosha, Wisconsin",Kenosha County Library System,KCLS,7,1,1,,,1,1,,,1,1,,,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,,
WI0148,KenoPL - Kenosha PL,Kenosha Public Library,public_library,7979,,38th,Ave,,,Kenosha,WI,53142,US,Kenosha,,,,Kenosha County Library System,KCLS,7,1,1,,,,,,,,,,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,
WI0148-002,KenoPL - Northside Branch,Northside Branch,public_library,1500,,27th,Ave,,,Kenosha,WI,53140,US,Kenosha,,,,Kenosha County Library System,KCLS,7,12,10,15,11,19,11,16,13,15,10,17,9,11,16,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0148-003,KenoPL - Simmons Branch,G.M. Simmons Branch,public_library,711,,59th,Pl,,,Kenosha,WI,53140,US,Kenosha,,,,Kenosha County Library System,KCLS,7,4,4,4,4,4,4,5,5,5,4,7,3,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0148-004,KenoPL - Southwest Branch,Southwest Branch,public_library,7979,,38th,Ave,,,Kenosha,WI,53142,US,Kenosha,,,,Kenosha County Library System,KCLS,7,20,16,21,30,16,21,21,19,15,20,13,22,22,18,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0148-005,KenoPL - Uptown Branch,Uptown Branch,public_library,2419,,63rd,St,,,Kenosha,WI,53143,US,Kenosha,,,,Kenosha County Library System,KCLS,7,3,3,3,3,3,3,2,3,,,3,3,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI1400,Kenosha County LS,Kenosha County Library System,library_system,812,,56th,St,,,Kenosha,WI,53140,US,Kenosha,,,,Kenosha County Library System,KCLS,7,1,1,,,1,1,1,1,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0148-007,Kenosha PL - BKM,Kenosha Public Library Bookmobile,outreach_service,1500,,27th,Ave,,,Kenosha,WI,53140,US,Kenosha,,,,Kenosha County Library System,KCLS,7,1,1,,,,,,,,,,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,
WI0283,Salem PL,Community Library,public_library,24615,,89th,St,,,Salem,WI,53168,US,Kenosha,,,,Kenosha County Library System,KCLS,7,5,8,7,8,6,6,9,6,7,9,7,8,8,7,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0283-004,Twin Lakes Branch,Twin Lakes Branch,public_library,110,S,Lake,Ave,,,Twin Lakes,WI,53181,US,Kenosha,,,,Kenosha County Library System,KCLS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,
WI0045,Burlington PL,Burlington Public Library,public_library,166,E,Jefferson,St,,,Burlington,WI,53105,US,Racine,,,,Lakeshores Library System,LLS,7,9,9,9,9,8,8,8,8,7,7,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0074,Darien PL,Darien Public Library,public_library,47,,Park,St,,,Darien,WI,53114,US,Walworth,,,,Lakeshores Library System,LLS,7,4,4,4,4,4,4,4,4,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0080,Delavan PL,Aram Public Library,public_library,404,E,Walworth,Ave,,,Delavan,WI,53115,US,Walworth,,,,Lakeshores Library System,LLS,7,8,8,7,7,8,8,8,8,7,7,,,8,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0089,East Troy PL,East Troy Lions Public Library,public_library,3094,,Graydon,Ave,,,East Troy,WI,53120,US,Walworth,,,,Lakeshores Library System,LLS,7,4,4,4,4,4,4,4,4,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0093,Elkhorn PL,Matheson Memorial Library,public_library,101,N,Wisconsin,St,,,Elkhorn,WI,53121,US,Walworth,,,,Lakeshores Library System,LLS,7,10,10,10,10,8,8,8,8,8,8,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0104,Fontana PL,Fontana Public Library,public_library,166,,2nd,Ave,,,Fontana,WI,53125,US,Walworth,,,,Lakeshores Library System,LLS,7,4,4,4,4,4,4,4,4,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0112,Genoa City PL,Genoa City Public Library,public_library,126,,Freeman,St,,,Genoa City,WI,53128,US,Walworth,,,,Lakeshores Library System,LLS,7,4,4,4,4,4,4,4,4,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0162,Lake Geneva PL,Lake Geneva Public Library,public_library,918,W,Main,St,,,Lake Geneva,WI,53147,US,Walworth,,,,Lakeshores Library System,LLS,7,8,8,8,8,7,7,7,7,7,7,,,8,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI1500,Lakeshores LS,Lakeshores Library System,library_system,29134,,Evergreen,Dr,,Ste 600,Waterford,WI,53185,US,Racine,,,,Lakeshores Library System,LLS,7,3,1,,,3,3,2,2,2,2,,,2,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0268,Racine PL,Racine Public Library,public_library,75,,Seventh,St,,,Racine,WI,53403,US,Racine,,,,Lakeshores Library System,LLS,7,35,35,35,35,30,30,25,25,25,25,,,30,30,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0268-003,Racine PL - BKM,Racine Public Mobile Library,outreach_service,75,,Seventh,St,,,Racine,WI,53403,US,Racine,,,,Lakeshores Library System,LLS,7,1,1,,,,,,,,,,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,
WI0281,Rochester PL,Rochester Public Library,public_library,208,W,Spring,St,,,Rochester,WI,53167,US,Racine,,,,Lakeshores Library System,LLS,7,4,4,4,4,4,4,4,4,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0290,Sharon PL,Brigham Memorial Library,public_library,131,,Plain,St,,,Sharon,WI,53585,US,Walworth,,,,Lakeshores Library System,LLS,7,4,4,4,4,4,4,4,4,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0326,Union Grove PL,Graham Public Library,public_library,1215,,Main,St,,,Union Grove,WI,53182,US,Racine,,,,Lakeshores Library System,LLS,7,5,5,4,4,4,4,4,4,4,4,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0332,Walworth PL,Walworth Memorial Library,public_library,525,,Kenosha,St,,Ste L,Walworth,WI,53184,US,Walworth,,,,Lakeshores Library System,LLS,7,4,4,4,4,4,4,4,4,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0334,Waterford PL,Waterford Public Library,public_library,101,N,River,St,,,Waterford,WI,53185,US,Racine,,,,Lakeshores Library System,LLS,7,10,10,10,10,8,8,8,8,8,8,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WIGOV290,WI School for the Deaf,Wisconsin School for the Deaf,wi_state_gov,309,W,Walworth,Ave,,,Delavan,WI,53115,US,Walworth,,,"J8MV+9M Delavan, Wisconsin",Lakeshores Library System,LLS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,,
WI0354,Williams Bay PL,Barrett Memorial Library,public_library,65,W,Geneva,St,,,Williams Bay,WI,53191,US,Walworth,,,,Lakeshores Library System,LLS,7,5,5,5,5,4,4,4,4,4,4,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0040,Brillion PL,Brillion Public Library,public_library,326,N,Main,St,,,Brillion,WI,54110,US,Calumet,,,,Manitowoc-Calumet Library System,MCLS,7,3,3,3,3,2,3,2,2,2,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0058,Chilton PL,Chilton Public Library,public_library,221,,Park,St,,,Chilton,WI,53014,US,Calumet,,,,Manitowoc-Calumet Library System,MCLS,7,3,3,2,3,3,3,2,3,2,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0152,Kiel PL,Kiel Public Library,public_library,511,,Third,St,,,Kiel,WI,53042,US,Manitowoc,,,,Manitowoc-Calumet Library System,MCLS,7,4,4,3,3,2,4,2,3,2,3,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WITC150,Lakeshore TC,Lakeshore Technical College,wi_tech_college,1290,,North,Ave,,,Cleveland,WI,53015,US,Manitowoc,,,,Manitowoc-Calumet Library System,MCLS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,
WI0179,Manitowoc PL,Manitowoc Public Library,public_library,707,,Quay,St,,,Manitowoc,WI,54220,US,Manitowoc,,,,Manitowoc-Calumet Library System,MCLS,7,9,12,8,8,10,7,8,8,8,8,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI1600,Manitowoc-Calumet LS,Manitowoc-Calumet Library System,library_system,707,,Quay,St,,,Manitowoc,WI,54220,US,Manitowoc,,,,Manitowoc-Calumet Library System,MCLS,7,2,2,2,2,2,2,,,3,4,,,3,3,FALSE,TRUE,TRUE,TRUE,TRUE,,
WI0220,New Holstein PL,New Holstein Public Library,public_library,2115,,Washington,St,,,New Holstein,WI,53061,US,Calumet,,,,Manitowoc-Calumet Library System,MCLS,7,3,3,2,2,2,3,2,3,2,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0325,Two Rivers PL,Lester Public Library,public_library,1001,,Adams,St,,,Two Rivers,WI,54241,US,Manitowoc,,,,Manitowoc-Calumet Library System,MCLS,7,7,7,8,6,5,5,3,5,8,6,,,6,7,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0043,Brown Deer PL,Brown Deer Public Library,public_library,5600,W,Bradley,Rd,,,Brown Deer,WI,53223,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,7,4,7,7,6,6,5,3,4,3,,,5,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0071,Cudahy PL,Cudahy Family Library,public_library,3500,,Library,Dr,,,Cudahy,WI,53110,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,14,7,10,13,8,10,10,7,8,7,,,9,10,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0107,Franklin PL,Franklin Public Library,public_library,9151,W,Loomis,Rd,,,Franklin,WI,53132,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,15,9,8,15,7,10,8,9,8,7,,,10,10,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0116,Glendale PL,North Shore Library,public_library,6800,N,Port Washington,Rd,,,Glendale,WI,53217,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,14,8,7,11,6,8,6,7,6,5,,,8,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0123,Greendale PL,Greendale Public Library,public_library,5647,,Broad,St,,,Greendale,WI,53129,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,13,8,8,9,7,7,6,7,6,7,,,8,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0124,Greenfield PL,Greenfield Public Library,public_library,5310,W,Layton,Ave,,,Greenfield,WI,53220,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,16,9,8,10,8,8,7,8,7,6,,,9,10,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0126,Hales Corners PL,Hales Corners Public Library,public_library,5885,S,116th,St,,,Hales Corners,WI,53130,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,10,5,6,7,5,6,5,5,4,4,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI1800,Milwaukee County FLS,Milwaukee County Federated Library System,library_system,709,N,8th,St,,,Milwaukee,WI,53233,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,2,2,,,3,2,2,2,2,2,,,2,3,FALSE,TRUE,TRUE,TRUE,TRUE,,
WI0199-015,Milwaukee PL - BKM,Milwaukee Public Library Outreach Delivery Services,outreach_service,814,W,Wisconsin,Ave,,,Milwaukee,WI,53233,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,,,1,1,,,,,1,1,,,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,,
WI0199-002,MilwPL - Atkinson Branch,Atkinson Branch,public_library,1960,W,Atkinson,Ave,,,Milwaukee,WI,53209,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,4,2,1,3,3,3,2,3,3,3,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-017,MilwPL - Bay View Branch,Bay View Branch,public_library,2566,S,Kinnickinnic,Ave,,,Milwaukee,WI,53207,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,10,7,12,12,8,10,8,7,5,6,,,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-003,MilwPL - Capitol Branch,Capitol Branch,public_library,3969,N,74th,St,,,Milwaukee,WI,53216,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,10,5,6,8,6,6,1,5,6,5,,,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-004,MilwPL - Center Street Branch,Center Street Branch,public_library,2727,W,Fond du Lac,Ave,,,Milwaukee,WI,53210,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,3,2,2,4,2,2,1,2,3,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-005,MilwPL - East Branch,East Branch,public_library,2320,N,Cramer,St,,,Milwaukee,WI,53211,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,13,9,11,15,10,12,7,10,8,8,,,11,10,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-010,MilwPL - Good Hope Branch,Good Hope Branch,public_library,7715,W,Good Hope,Rd,,,Milwaukee,WI,53223,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,7,4,4,6,4,5,3,4,3,4,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-009,MilwPL - Martin Luther King Branch,Martin Luther King Branch,public_library,310,W,Locust,St,,,Milwaukee,WI,53212,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,4,4,5,5,3,3,3,3,3,3,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199,MilwPL - Milwaukee PL,Milwaukee Public Library,public_library,814,W,Wisconsin,Ave,,,Milwaukee,WI,53233,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,14,35,12,29,10,24,12,24,6,18,,,26,11,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-007,MilwPL - Mitchell Street Branch,Mitchell Street Branch,public_library,906,W,Historic Mitchell,St,,,Milwaukee,WI,53204,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,3,3,4,5,2,4,3,3,2,3,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-012,MilwPL - Tippecanoe Branch,Tippecanoe Branch,public_library,3912,S,Howell,Ave,,,Milwaukee,WI,53207,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,9,8,8,9,6,7,5,8,5,5,,,8,7,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-011,MilwPL - Villard Square Branch,Villard Square Branch,public_library,5190,N,35th,St,,,Milwaukee,WI,53209,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,5,3,2,5,3,3,1,3,2,2,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-018,MilwPL - Washington Park Branch,Washington Park Branch,public_library,2121,N,Sherman,Blvd,,,Milwaukee,WI,53208,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,8,3,3,6,4,4,4,4,3,3,,,4,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0199-013,MilwPL - Zablocki Branch,Zablocki Branch,public_library,3501,W,Oklahoma,Ave,,,Milwaukee,WI,53215,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,14,6,5,11,5,8,4,6,5,5,,,8,7,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0227,Oak Creek PL,Oak Creek Public Library,public_library,8040,S,6th,St,,,Oak Creek,WI,53154,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,11,7,9,13,8,8,6,8,6,8,,,9,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0296,Shorewood PL,Shorewood Public Library,public_library,3920,N,Murray,Ave,,,Shorewood,WI,53211,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,13,6,9,15,6,12,6,8,5,5,,,10,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0301,South Milwaukee PL,South Milwaukee Public Library,public_library,1907,,10th,Ave,,,South Milwaukee,WI,53172,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,10,6,8,7,7,6,6,8,5,5,,,7,8,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0313,St. Francis PL,St. Francis Public Library,public_library,4230,S,Nicholson,Ave,,,St. Francis,WI,53235,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,7,5,7,8,6,6,65,6,5,5,,,6,18,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0343,Wauwatosa PL,Wauwatosa Public Library,public_library,7635,W,North,Ave,,,Wauwatosa,WI,53213,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,25,10,16,25,11,18,13,15,13,12,,,16,16,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0344,West Allis PL,West Allis Public Library,public_library,7421,W,National,Ave,,,West Allis,WI,53214,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,17,11,14,21,9,14,9,12,8,9,,,14,12,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0350,Whitefish Bay PL,Whitefish Bay Public Library,public_library,5420,N,Marlborough,Dr,,,Whitefish Bay,WI,53217,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,18,7,6,10,7,9,6,9,5,5,,,8,9,FALSE,FALSE,TRUE,TRUE,TRUE,,
WIGOV300,WI Talking Book & Braille Library,Wisconsin Talking Book and Braille Library,wi_state_gov,813,W,Wells,St,,,Milwaukee,WI,53233,US,Milwaukee,,,,Milwaukee County Federated Library System,MCFLS,7,1,1,,,,,,,,,,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,
WI0022,Beaver Dam PL,Beaver Dam Community Library,public_library,311,N,Spring,St,,,Beaver Dam,WI,53916,US,Dodge,,,,Monarch Library System,MLS,7,1,2,3,2,1,2,1,0,1,0,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0044,Brownsville PL,Brownsville Public Library,public_library,379,,Main,St,,,Brownsville,WI,53006,US,Dodge,,,,Monarch Library System,MLS,7,1,2,2,2,1,2,1,2,1,0,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0054,Cedar Grove PL,Cedar Grove Public Library,public_library,131,,Van Altena,Ave,,,Cedar Grove,WI,53013,US,Sheboygan,,,,Monarch Library System,MLS,7,4,4,3,5,2,4,2,4,3,4,,,5,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0055,Cedarburg PL,Cedarburg Public Library,public_library,W63N589,,Hanover,Ave,,,Cedarburg,WI,53012,US,Ozaukee,,,,Monarch Library System,MLS,7,10,24,17,20,17,15,12,16,11,15,,,18,14,FALSE,FALSE,TRUE,TRUE,TRUE,,
WIGOV150,Dodge CI,Dodge Correctional Institute,wi_state_gov,1,W,Lincoln,St,,,Waupun,WI,53963,US,Dodge,,,,Monarch Library System,MLS,7,4,10,5,5,5,6,4,5,5,5,,,7,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0092,Elkhart Lake PL,Elkhart Lake Public Library,public_library,40,,Pine,St,,,Elkhart Lake,WI,53020,US,Sheboygan,,,,Monarch Library System,MLS,7,2,5,3,4,2,5,2,4,2,4,,,5,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WIGOV170,Fox Lake CI,Fox Lake Correctional Institution,wi_state_gov,W10237,,Lake Emily,Rd,,,Fox Lake,WI,53933,US,Dodge,,,,Monarch Library System,MLS,7,1,1,,,,,,,,,,,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,,
WI0106,Fox Lake PL,Fox Lake Public Library,public_library,117,W,State,St,,,Fox Lake,WI,53933,US,Dodge,,,,Monarch Library System,MLS,7,1,2,1,1,1,2,1,2,1,1,,,2,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0113,Germantown PL,Germantown Community Library,public_library,N112W16957,,Mequon,Rd,,,Germantown,WI,53022,US,Washington,,,,Monarch Library System,MLS,7,9,14,13,14,11,12,8,10,11,12,,,13,11,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0385,Grafton PL,U.S.S. Liberty Memorial Public Library,public_library,1620,,11th,Ave,,,Grafton,WI,53024,US,Ozaukee,,,,Monarch Library System,MLS,7,11,17,14,17,12,14,9,13,10,13,,,15,12,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0129,Hartford PL,Jack Russell Memorial Library,public_library,100,,Park,Ave,,,Hartford,WI,53027,US,Washington,,,,Monarch Library System,MLS,7,5,12,5,9,6,9,7,11,5,8,,,10,6,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0135,Horicon PL,Horicon Public Library,public_library,404,E,Lake,St,,,Horicon,WI,53032,US,Dodge,,,,Monarch Library System,MLS,7,2,4,2,3,2,3,2,2,2,1,,,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0388,Hustisford PL,Hustisford Community Library,public_library,609,W,Juneau,St,,,Hustisford,WI,53034,US,Dodge,,,,Monarch Library System,MLS,7,2,2,2,2,2,2,2,2,1,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0389,Iron Ridge PL,Iron Ridge Public Library,public_library,205,,Park,St,,,Iron Ridge,WI,53035,US,Dodge,,,,Monarch Library System,MLS,7,1,1,1,1,1,2,1,1,1,1,,,2,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0145,Juneau PL,Juneau Public Library,public_library,250,N,Fairfield,Ave,,,Juneau,WI,53039,US,Dodge,,,,Monarch Library System,MLS,7,2,3,3,3,2,2,2,2,1,2,,,3,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WIGOV190,Kettle Moraine CI,Kettle Moraine Correctional Institution,wi_state_gov,W9071,,Forest,Dr,,,Plymouth,WI,53023,US,Sheboygan,,,"PVF2+C8 Plymouth, Wisconsin",Monarch Library System,MLS,7,2,2,,,,,,,,,,,2,2,TRUE,FALSE,FALSE,TRUE,TRUE,,
WI0150,Kewaskum PL,Kewaskum Public Library,public_library,206,,First,St,,,Kewaskum,WI,53040,US,Washington,,,,Monarch Library System,MLS,7,2,6,3,3,3,0,3,4,1,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0155,Kohler PL,Kohler Public Library,public_library,333,,Upper,Rd,,,Kohler,WI,53044,US,Sheboygan,,,,Monarch Library System,MLS,7,3,6,3,5,6,6,4,5,3,6,,,6,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
ACAD0080,Lakeland University,Lakeland College,private_academic,W3718,,South,Dr,,,Plymouth,WI,53073,US,Sheboygan,,,"R4R8+JJ Plymouth, Wisconsin",Monarch Library System,MLS,7,1,2,1,1,1,2,1,1,1,2,,,2,1,FALSE,FALSE,FALSE,TRUE,TRUE,,
WI0172,Lomira PL,Lomira QuadGraphics Community Library,public_library,427,S,Water,St,,,Lomira,WI,53048,US,Dodge,,,,Monarch Library System,MLS,7,1,2,2,2,2,2,1,2,1,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0186,Mayville PL,Mayville Public Library,public_library,111,N,Main,St,,,Mayville,WI,53050,US,Dodge,,,,Monarch Library System,MLS,7,1,2,1,1,1,0,1,0,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0193,Mequon PL,Frank L. Weyenberg Library,public_library,11345,N,Cedarburg,Rd,,,Mequon,WI,53092,US,Ozaukee,,,,Monarch Library System,MLS,7,12,25,19,23,14,24,14,14,12,16,,,21,15,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI1200,Monarch LS,Monarch Library System,library_system,4632,S,Taylor,Dr,,,Sheboygan,WI,53081,US,Sheboygan,,,,Monarch Library System,MLS,7,5,6,3,3,2,3,,,8,7,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0235,Oostburg PL,Oostburg Public Library,public_library,213,N,8th,St,,,Oostburg,WI,53070,US,Sheboygan,,,,Monarch Library System,MLS,7,4,6,3,5,4,6,3,5,3,6,,,6,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0257,Plymouth PL,Plymouth Public Library,public_library,130,,Division,St,,,Plymouth,WI,53073,US,Sheboygan,,,,Monarch Library System,MLS,7,6,14,9,13,6,11,6,12,6,13,,,13,7,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0258,Port Washington PL,W.J. Niederkorn Library,public_library,316,W,Grand,Ave,,,Port Washington,WI,53074,US,Ozaukee,,,,Monarch Library System,MLS,7,12,17,14,17,12,14,9,13,10,13,,,15,12,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0270,Random Lake PL,Lakeview Community Library,public_library,112,,Butler,St,,,Random Lake,WI,53075,US,Sheboygan,,,,Monarch Library System,MLS,7,4,8,3,6,3,6,2,5,2,6,,,7,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0400,Reeseville PL,Reeseville Public Library,public_library,216,S,Main,St,,,Reeseville,WI,53579,US,Dodge,,,,Monarch Library System,MLS,7,2,5,3,3,2,4,2,3,2,2,,,4,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
